id,fold,partition,min_train_dist
bpRNA_RFAM_9048,0,TR0,
bpRNA_RFAM_20176,0,TR0,
bpRNA_RFAM_7131,0,TR0,
bpRNA_RFAM_37564,0,TR0,
bpRNA_RFAM_34887,0,TR0,
bpRNA_RFAM_31500,0,TR0,
bpRNA_RFAM_40975,0,TR0,
bpRNA_RFAM_19414,0,TR0,
bpRNA_RFAM_15710,0,TR0,
bpRNA_RFAM_33398,0,TR0,
bpRNA_RFAM_218,0,TR0,
bpRNA_RFAM_9216,0,TR0,
bpRNA_RNP_394,0,TR0,
bpRNA_RFAM_23194,0,TR0,
bpRNA_RFAM_38313,0,TR0,
bpRNA_CRW_52770,0,TR0,
bpRNA_RFAM_3302,0,TR0,
bpRNA_RFAM_28318,0,TR0,
bpRNA_RFAM_1921,0,TR0,
bpRNA_RFAM_10270,0,TR0,
bpRNA_RFAM_10825,0,TR0,
bpRNA_RFAM_30230,0,TR0,
bpRNA_RFAM_36691,0,TR0,
bpRNA_RFAM_22816,0,TR0,
bpRNA_CRW_35631,0,TR0,
bpRNA_RFAM_34176,0,TR0,
bpRNA_RFAM_31953,0,TR0,
bpRNA_RFAM_5258,0,TR0,
bpRNA_RFAM_19313,0,TR0,
bpRNA_RFAM_26162,0,TR0,
bpRNA_RFAM_37548,0,TR0,
bpRNA_RFAM_42644,0,TR0,
bpRNA_CRW_54544,0,TR0,
bpRNA_RFAM_10575,0,TR0,
bpRNA_tmRNA_59,0,TR0,
bpRNA_RFAM_8369,0,TR0,
bpRNA_RFAM_24444,0,TR0,
bpRNA_RFAM_26971,0,TR0,
bpRNA_CRW_54438,0,TR0,
bpRNA_RFAM_26584,0,TR0,
bpRNA_RFAM_42471,0,TR0,
bpRNA_RFAM_2506,0,TR0,
bpRNA_RFAM_3622,0,TR0,
bpRNA_RFAM_18847,0,TR0,
bpRNA_RFAM_6149,0,TR0,
bpRNA_RFAM_37930,0,TR0,
bpRNA_RFAM_20028,0,TR0,
bpRNA_RFAM_3684,0,TR0,
bpRNA_RFAM_12957,0,TR0,
bpRNA_RFAM_11627,0,TR0,
bpRNA_RFAM_27182,0,TR0,
bpRNA_CRW_19939,0,TR0,
bpRNA_RFAM_22699,0,TR0,
bpRNA_tmRNA_650,0,TR0,
bpRNA_RFAM_42560,0,TR0,
bpRNA_RFAM_8638,0,TR0,
bpRNA_RFAM_21000,0,TR0,
bpRNA_RFAM_12844,0,TR0,
bpRNA_RFAM_19287,0,TR0,
bpRNA_RFAM_1642,0,TR0,
bpRNA_RFAM_2364,0,TR0,
bpRNA_RFAM_37779,0,TR0,
bpRNA_RFAM_22709,0,TR0,
bpRNA_RFAM_748,0,TR0,
bpRNA_RFAM_39973,0,TR0,
bpRNA_RNP_407,0,TR0,
bpRNA_SRP_48,0,TR0,
bpRNA_RFAM_16949,0,TR0,
bpRNA_RFAM_37361,0,TR0,
bpRNA_RFAM_20578,0,TR0,
bpRNA_CRW_30920,0,TR0,
bpRNA_RFAM_3203,0,TR0,
bpRNA_RFAM_25429,0,TR0,
bpRNA_RFAM_42173,0,TR0,
bpRNA_RFAM_11265,0,TR0,
bpRNA_RFAM_21014,0,TR0,
bpRNA_RFAM_6557,0,TR0,
bpRNA_RFAM_21345,0,TR0,
bpRNA_RFAM_26312,0,TR0,
bpRNA_RFAM_2766,0,TR0,
bpRNA_RFAM_28442,0,TR0,
bpRNA_RFAM_9008,0,TR0,
bpRNA_RFAM_19508,0,TR0,
bpRNA_RFAM_2749,0,TR0,
bpRNA_RFAM_7550,0,TR0,
bpRNA_RFAM_13890,0,TR0,
bpRNA_RFAM_39873,0,TR0,
bpRNA_RFAM_24210,0,TR0,
bpRNA_RFAM_42021,0,TR0,
bpRNA_RFAM_3108,0,TR0,
bpRNA_RFAM_42552,0,TR0,
bpRNA_RFAM_24761,0,TR0,
bpRNA_RFAM_31837,0,TR0,
bpRNA_RFAM_31779,0,TR0,
bpRNA_RFAM_4791,0,TR0,
bpRNA_RFAM_25649,0,TR0,
bpRNA_RFAM_27722,0,TR0,
bpRNA_RFAM_23056,0,TR0,
bpRNA_RFAM_16839,0,TR0,
bpRNA_RFAM_16370,0,TR0,
bpRNA_RFAM_7993,0,TR0,
bpRNA_CRW_24166,0,TR0,
bpRNA_SRP_630,0,TR0,
bpRNA_RFAM_41297,0,TR0,
bpRNA_RFAM_33719,0,TR0,
bpRNA_RFAM_27090,0,TR0,
bpRNA_RFAM_15702,0,TR0,
bpRNA_RFAM_3726,0,TR0,
bpRNA_RFAM_40870,0,TR0,
bpRNA_RFAM_39081,0,TR0,
bpRNA_RFAM_26545,0,TR0,
bpRNA_CRW_17927,0,TR0,
bpRNA_RFAM_23276,0,TR0,
bpRNA_RFAM_33911,0,TR0,
bpRNA_RFAM_36684,0,TR0,
bpRNA_RFAM_28151,0,TR0,
bpRNA_RFAM_9078,0,TR0,
bpRNA_RFAM_29876,0,TR0,
bpRNA_RFAM_42312,0,TR0,
bpRNA_RFAM_8294,0,TR0,
bpRNA_RFAM_38272,0,TR0,
bpRNA_RFAM_34175,0,TR0,
bpRNA_RFAM_20103,0,TR0,
bpRNA_SPR_227,0,TR0,
bpRNA_RFAM_16552,0,TR0,
bpRNA_RFAM_22330,0,TR0,
bpRNA_SRP_17,0,TR0,
bpRNA_RNP_101,0,TR0,
bpRNA_RFAM_26861,0,TR0,
bpRNA_RFAM_9973,0,TR0,
bpRNA_RFAM_38735,0,TR0,
bpRNA_RFAM_21388,0,TR0,
bpRNA_RFAM_10559,0,TR0,
bpRNA_RFAM_40395,0,TR0,
bpRNA_RFAM_15351,0,TR0,
bpRNA_RFAM_34196,0,TR0,
bpRNA_RFAM_17499,0,TR0,
bpRNA_RFAM_28188,0,TR0,
bpRNA_RFAM_34711,0,TR0,
bpRNA_RFAM_16984,0,TR0,
bpRNA_RFAM_22831,0,TR0,
bpRNA_RFAM_26229,0,TR0,
bpRNA_RFAM_18600,0,TR0,
bpRNA_RFAM_21335,0,TR0,
bpRNA_RFAM_6480,0,TR0,
bpRNA_RFAM_36552,0,TR0,
bpRNA_RFAM_38246,0,TR0,
bpRNA_tmRNA_672,0,TR0,
bpRNA_RFAM_13933,0,TR0,
bpRNA_RFAM_29802,0,TR0,
bpRNA_RFAM_35850,0,TR0,
bpRNA_CRW_31400,0,TR0,
bpRNA_RFAM_2536,0,TR0,
bpRNA_RFAM_12838,0,TR0,
bpRNA_RFAM_18940,0,TR0,
bpRNA_RFAM_42538,0,TR0,
bpRNA_RFAM_30695,0,TR0,
bpRNA_RFAM_38253,0,TR0,
bpRNA_RFAM_24632,0,TR0,
bpRNA_RFAM_19668,0,TR0,
bpRNA_RFAM_10373,0,TR0,
bpRNA_RFAM_40836,0,TR0,
bpRNA_RFAM_41539,0,TR0,
bpRNA_RFAM_24688,0,TR0,
bpRNA_RFAM_26868,0,TR0,
bpRNA_RFAM_2540,0,TR0,
bpRNA_CRW_31077,0,TR0,
bpRNA_RFAM_20789,0,TR0,
bpRNA_RFAM_6493,0,TR0,
bpRNA_RFAM_9021,0,TR0,
bpRNA_RFAM_11572,0,TR0,
bpRNA_RFAM_11373,0,TR0,
bpRNA_RFAM_18749,0,TR0,
bpRNA_RFAM_43213,0,TR0,
bpRNA_SPR_5,0,TR0,
bpRNA_RFAM_5845,0,TR0,
bpRNA_RFAM_40160,0,TR0,
bpRNA_RFAM_38968,0,TR0,
bpRNA_RFAM_3808,0,TR0,
bpRNA_RFAM_26903,0,TR0,
bpRNA_RFAM_14677,0,TR0,
bpRNA_RFAM_40534,0,TR0,
bpRNA_RFAM_38897,0,TR0,
bpRNA_RFAM_38610,0,TR0,
bpRNA_RFAM_5819,0,TR0,
bpRNA_RFAM_2346,0,TR0,
bpRNA_RFAM_38941,0,TR0,
bpRNA_RFAM_7463,0,TR0,
bpRNA_SPR_81,0,TR0,
bpRNA_RFAM_22342,0,TR0,
bpRNA_RFAM_27295,0,TR0,
bpRNA_RFAM_32614,0,TR0,
bpRNA_RFAM_22164,0,TR0,
bpRNA_RFAM_32097,0,TR0,
bpRNA_RFAM_28491,0,TR0,
bpRNA_CRW_26984,0,TR0,
bpRNA_RNP_42,0,TR0,
bpRNA_RFAM_4089,0,TR0,
bpRNA_RFAM_36906,0,TR0,
bpRNA_RNP_197,0,TR0,
bpRNA_RFAM_1442,0,TR0,
bpRNA_RFAM_8483,0,TR0,
bpRNA_RFAM_9592,0,TR0,
bpRNA_RFAM_6231,0,TR0,
bpRNA_RFAM_9014,0,TR0,
bpRNA_RFAM_10090,0,TR0,
bpRNA_RFAM_6308,0,TR0,
bpRNA_RFAM_19365,0,TR0,
bpRNA_RFAM_18923,0,TR0,
bpRNA_RFAM_41455,0,TR0,
bpRNA_RFAM_1879,0,TR0,
bpRNA_RFAM_5484,0,TR0,
bpRNA_RFAM_7946,0,TR0,
bpRNA_RFAM_5936,0,TR0,
bpRNA_RFAM_22747,0,TR0,
bpRNA_RFAM_40587,0,TR0,
bpRNA_RFAM_41100,0,TR0,
bpRNA_RFAM_21045,0,TR0,
bpRNA_RFAM_10844,0,TR0,
bpRNA_RFAM_28465,0,TR0,
bpRNA_RFAM_23197,0,TR0,
bpRNA_RFAM_2111,0,TR0,
bpRNA_RFAM_22518,0,TR0,
bpRNA_RFAM_8673,0,TR0,
bpRNA_RFAM_13807,0,TR0,
bpRNA_RFAM_19962,0,TR0,
bpRNA_RFAM_32733,0,TR0,
bpRNA_RFAM_26729,0,TR0,
bpRNA_RFAM_23378,0,TR0,
bpRNA_RFAM_29052,0,TR0,
bpRNA_RFAM_18487,0,TR0,
bpRNA_RFAM_25955,0,TR0,
bpRNA_RFAM_1235,0,TR0,
bpRNA_RFAM_38464,0,TR0,
bpRNA_RFAM_11262,0,TR0,
bpRNA_RFAM_36628,0,TR0,
bpRNA_RFAM_41479,0,TR0,
bpRNA_RFAM_20331,0,TR0,
bpRNA_RFAM_6759,0,TR0,
bpRNA_CRW_19097,0,TR0,
bpRNA_RFAM_41792,0,TR0,
bpRNA_RFAM_4723,0,TR0,
bpRNA_RFAM_15863,0,TR0,
bpRNA_RFAM_32057,0,TR0,
bpRNA_RFAM_9347,0,TR0,
bpRNA_SRP_579,0,TR0,
bpRNA_RFAM_38556,0,TR0,
bpRNA_RFAM_21933,0,TR0,
bpRNA_RFAM_5470,0,TR0,
bpRNA_RFAM_4736,0,TR0,
bpRNA_RFAM_41784,0,TR0,
bpRNA_RFAM_23074,0,TR0,
bpRNA_RFAM_13394,0,TR0,
bpRNA_RFAM_24030,0,TR0,
bpRNA_RFAM_29079,0,TR0,
bpRNA_RFAM_10952,0,TR0,
bpRNA_RFAM_2830,0,TR0,
bpRNA_RFAM_27845,0,TR0,
bpRNA_RFAM_40375,0,TR0,
bpRNA_RFAM_15667,0,TR0,
bpRNA_RFAM_31789,0,TR0,
bpRNA_RFAM_23522,0,TR0,
bpRNA_tmRNA_254,0,TR0,
bpRNA_RFAM_35602,0,TR0,
bpRNA_RFAM_31578,0,TR0,
bpRNA_RFAM_17825,0,TR0,
bpRNA_RFAM_6233,0,TR0,
bpRNA_RFAM_5859,0,TR0,
bpRNA_RFAM_19099,0,TR0,
bpRNA_RFAM_9636,0,TR0,
bpRNA_RFAM_28606,0,TR0,
bpRNA_RFAM_9059,0,TR0,
bpRNA_RFAM_3950,0,TR0,
bpRNA_RFAM_16682,0,TR0,
bpRNA_RFAM_5423,0,TR0,
bpRNA_RFAM_21531,0,TR0,
bpRNA_RFAM_11374,0,TR0,
bpRNA_RFAM_17032,0,TR0,
bpRNA_RFAM_6438,0,TR0,
bpRNA_CRW_30936,0,TR0,
bpRNA_RFAM_24041,0,TR0,
bpRNA_RNP_207,0,TR0,
bpRNA_RFAM_41243,0,TR0,
bpRNA_RFAM_12461,0,TR0,
bpRNA_RFAM_20413,0,TR0,
bpRNA_RFAM_16384,0,TR0,
bpRNA_RFAM_13055,0,TR0,
bpRNA_RFAM_26331,0,TR0,
bpRNA_RFAM_33429,0,TR0,
bpRNA_RFAM_22370,0,TR0,
bpRNA_RFAM_2548,0,TR0,
bpRNA_RFAM_35506,0,TR0,
bpRNA_CRW_34073,0,TR0,
bpRNA_RFAM_25890,0,TR0,
bpRNA_RFAM_19568,0,TR0,
bpRNA_RFAM_1331,0,TR0,
bpRNA_SRP_856,0,TR0,
bpRNA_RFAM_38354,0,TR0,
bpRNA_RFAM_24416,0,TR0,
bpRNA_RFAM_19980,0,TR0,
bpRNA_RFAM_554,0,TR0,
bpRNA_RFAM_9036,0,TR0,
bpRNA_RFAM_29705,0,TR0,
bpRNA_RFAM_5860,0,TR0,
bpRNA_SPR_585,0,TR0,
bpRNA_RFAM_41356,0,TR0,
bpRNA_CRW_44318,0,TR0,
bpRNA_RFAM_21922,0,TR0,
bpRNA_RFAM_35391,0,TR0,
bpRNA_RFAM_11711,0,TR0,
bpRNA_RFAM_37265,0,TR0,
bpRNA_RFAM_27951,0,TR0,
bpRNA_RFAM_35557,0,TR0,
bpRNA_RFAM_24590,0,TR0,
bpRNA_RFAM_37916,0,TR0,
bpRNA_RFAM_5358,0,TR0,
bpRNA_RFAM_27109,0,TR0,
bpRNA_RFAM_7222,0,TR0,
bpRNA_RFAM_35102,0,TR0,
bpRNA_RFAM_40023,0,TR0,
bpRNA_RFAM_40196,0,TR0,
bpRNA_RFAM_7992,0,TR0,
bpRNA_RFAM_9610,0,TR0,
bpRNA_RFAM_28594,0,TR0,
bpRNA_RFAM_42723,0,TR0,
bpRNA_RFAM_24279,0,TR0,
bpRNA_RFAM_24354,0,TR0,
bpRNA_RFAM_24555,0,TR0,
bpRNA_RFAM_15754,0,TR0,
bpRNA_tmRNA_600,0,TR0,
bpRNA_CRW_30346,0,TR0,
bpRNA_RFAM_27457,0,TR0,
bpRNA_RFAM_20552,0,TR0,
bpRNA_RFAM_22417,0,TR0,
bpRNA_RFAM_37282,0,TR0,
bpRNA_CRW_29929,0,TR0,
bpRNA_RFAM_13575,0,TR0,
bpRNA_RFAM_1877,0,TR0,
bpRNA_RFAM_20522,0,TR0,
bpRNA_RFAM_2922,0,TR0,
bpRNA_RFAM_14089,0,TR0,
bpRNA_RFAM_33764,0,TR0,
bpRNA_RFAM_27014,0,TR0,
bpRNA_RFAM_24652,0,TR0,
bpRNA_RFAM_24687,0,TR0,
bpRNA_RFAM_10158,0,TR0,
bpRNA_RFAM_6720,0,TR0,
bpRNA_RFAM_4714,0,TR0,
bpRNA_RFAM_19376,0,TR0,
bpRNA_RFAM_10564,0,TR0,
bpRNA_RFAM_2471,0,TR0,
bpRNA_RFAM_2773,0,TR0,
bpRNA_RFAM_5784,0,TR0,
bpRNA_RFAM_26619,0,TR0,
bpRNA_RFAM_24719,0,TR0,
bpRNA_RFAM_35802,0,TR0,
bpRNA_RFAM_27590,0,TR0,
bpRNA_RFAM_7034,0,TR0,
bpRNA_RFAM_14929,0,TR0,
bpRNA_RFAM_21982,0,TR0,
bpRNA_CRW_31434,0,TR0,
bpRNA_CRW_42426,0,TR0,
bpRNA_RFAM_20550,0,TR0,
bpRNA_RFAM_20501,0,TR0,
bpRNA_RFAM_40653,0,TR0,
bpRNA_RFAM_9034,0,TR0,
bpRNA_CRW_35633,0,TR0,
bpRNA_RFAM_9261,0,TR0,
bpRNA_RFAM_5867,0,TR0,
bpRNA_RFAM_36952,0,TR0,
bpRNA_RFAM_17185,0,TR0,
bpRNA_RFAM_39889,0,TR0,
bpRNA_RFAM_40483,0,TR0,
bpRNA_CRW_26151,0,TR0,
bpRNA_RFAM_35027,0,TR0,
bpRNA_RFAM_25338,0,TR0,
bpRNA_RFAM_2911,0,TR0,
bpRNA_RFAM_4024,0,TR0,
bpRNA_RFAM_14173,0,TR0,
bpRNA_RFAM_42163,0,TR0,
bpRNA_RFAM_42234,0,TR0,
bpRNA_RFAM_21470,0,TR0,
bpRNA_RFAM_34694,0,TR0,
bpRNA_RFAM_5865,0,TR0,
bpRNA_RFAM_15752,0,TR0,
bpRNA_RFAM_28817,0,TR0,
bpRNA_RFAM_26419,0,TR0,
bpRNA_RFAM_5844,0,TR0,
bpRNA_RFAM_22299,0,TR0,
bpRNA_RFAM_38455,0,TR0,
bpRNA_RFAM_2914,0,TR0,
bpRNA_RFAM_12029,0,TR0,
bpRNA_RFAM_38704,0,TR0,
bpRNA_RFAM_11618,0,TR0,
bpRNA_RNP_227,0,TR0,
bpRNA_RFAM_38757,0,TR0,
bpRNA_RFAM_42500,0,TR0,
bpRNA_RFAM_20350,0,TR0,
bpRNA_RFAM_41445,0,TR0,
bpRNA_SRP_424,0,TR0,
bpRNA_RFAM_39685,0,TR0,
bpRNA_CRW_24590,0,TR0,
bpRNA_RFAM_12167,0,TR0,
bpRNA_RFAM_14726,0,TR0,
bpRNA_RFAM_24336,0,TR0,
bpRNA_RFAM_19470,0,TR0,
bpRNA_RFAM_2897,0,TR0,
bpRNA_RFAM_14501,0,TR0,
bpRNA_RFAM_25139,0,TR0,
bpRNA_RFAM_16423,0,TR0,
bpRNA_CRW_42552,0,TR0,
bpRNA_RFAM_34599,0,TR0,
bpRNA_RFAM_18900,0,TR0,
bpRNA_RFAM_31107,0,TR0,
bpRNA_RFAM_7777,0,TR0,
bpRNA_RFAM_31425,0,TR0,
bpRNA_RFAM_36168,0,TR0,
bpRNA_RFAM_27734,0,TR0,
bpRNA_RFAM_34715,0,TR0,
bpRNA_RFAM_18812,0,TR0,
bpRNA_RFAM_26911,0,TR0,
bpRNA_RFAM_27128,0,TR0,
bpRNA_CRW_41228,0,TR0,
bpRNA_RFAM_33586,0,TR0,
bpRNA_RFAM_8311,0,TR0,
bpRNA_RFAM_36061,0,TR0,
bpRNA_RFAM_37578,0,TR0,
bpRNA_RFAM_7981,0,TR0,
bpRNA_RFAM_37719,0,TR0,
bpRNA_RFAM_25706,0,TR0,
bpRNA_RFAM_18746,0,TR0,
bpRNA_RFAM_21561,0,TR0,
bpRNA_RFAM_38552,0,TR0,
bpRNA_RFAM_35361,0,TR0,
bpRNA_RFAM_5485,0,TR0,
bpRNA_RFAM_24745,0,TR0,
bpRNA_RFAM_6497,0,TR0,
bpRNA_RFAM_13477,0,TR0,
bpRNA_RFAM_35488,0,TR0,
bpRNA_RFAM_12823,0,TR0,
bpRNA_RFAM_14217,0,TR0,
bpRNA_RFAM_26465,0,TR0,
bpRNA_RFAM_25912,0,TR0,
bpRNA_RFAM_5738,0,TR0,
bpRNA_RFAM_1709,0,TR0,
bpRNA_RFAM_13768,0,TR0,
bpRNA_RFAM_30619,0,TR0,
bpRNA_RFAM_27207,0,TR0,
bpRNA_RFAM_17213,0,TR0,
bpRNA_RFAM_11701,0,TR0,
bpRNA_RFAM_25124,0,TR0,
bpRNA_RFAM_3167,0,TR0,
bpRNA_RFAM_2502,0,TR0,
bpRNA_CRW_34347,0,TR0,
bpRNA_RFAM_20234,0,TR0,
bpRNA_RFAM_6155,0,TR0,
bpRNA_RFAM_13543,0,TR0,
bpRNA_RFAM_34856,0,TR0,
bpRNA_RFAM_11802,0,TR0,
bpRNA_RFAM_37818,0,TR0,
bpRNA_RFAM_5780,0,TR0,
bpRNA_RFAM_2697,0,TR0,
bpRNA_RFAM_20095,0,TR0,
bpRNA_RFAM_40879,0,TR0,
bpRNA_RFAM_12484,0,TR0,
bpRNA_RFAM_38280,0,TR0,
bpRNA_CRW_52131,0,TR0,
bpRNA_RFAM_27567,0,TR0,
bpRNA_RFAM_16894,0,TR0,
bpRNA_RFAM_26488,0,TR0,
bpRNA_RFAM_38301,0,TR0,
bpRNA_RFAM_24441,0,TR0,
bpRNA_RFAM_37573,0,TR0,
bpRNA_RFAM_9205,0,TR0,
bpRNA_RFAM_31507,0,TR0,
bpRNA_RFAM_40171,0,TR0,
bpRNA_RFAM_34405,0,TR0,
bpRNA_RFAM_28099,0,TR0,
bpRNA_RFAM_35799,0,TR0,
bpRNA_RFAM_32159,0,TR0,
bpRNA_RFAM_7230,0,TR0,
bpRNA_RFAM_34847,0,TR0,
bpRNA_RFAM_33402,0,TR0,
bpRNA_RFAM_23016,0,TR0,
bpRNA_RFAM_8495,0,TR0,
bpRNA_RFAM_31982,0,TR0,
bpRNA_RFAM_14135,0,TR0,
bpRNA_RFAM_21201,0,TR0,
bpRNA_RFAM_6490,0,TR0,
bpRNA_RFAM_36115,0,TR0,
bpRNA_RFAM_19974,0,TR0,
bpRNA_CRW_52583,0,TR0,
bpRNA_RFAM_12489,0,TR0,
bpRNA_RFAM_34928,0,TR0,
bpRNA_RFAM_7666,0,TR0,
bpRNA_CRW_31531,0,TR0,
bpRNA_RFAM_2338,0,TR0,
bpRNA_RFAM_41596,0,TR0,
bpRNA_RFAM_2006,0,TR0,
bpRNA_CRW_26799,0,TR0,
bpRNA_RFAM_24209,0,TR0,
bpRNA_RFAM_9642,0,TR0,
bpRNA_RFAM_35734,0,TR0,
bpRNA_RFAM_11182,0,TR0,
bpRNA_RFAM_14486,0,TR0,
bpRNA_RFAM_33704,0,TR0,
bpRNA_RFAM_41935,0,TR0,
bpRNA_RFAM_7932,0,TR0,
bpRNA_RFAM_17234,0,TR0,
bpRNA_RFAM_28982,0,TR0,
bpRNA_SRP_531,0,TR0,
bpRNA_RFAM_27711,0,TR0,
bpRNA_RFAM_21813,0,TR0,
bpRNA_RFAM_24120,0,TR0,
bpRNA_RFAM_28030,0,TR0,
bpRNA_RFAM_3145,0,TR0,
bpRNA_CRW_34231,0,TR0,
bpRNA_RFAM_26149,0,TR0,
bpRNA_SPR_403,0,TR0,
bpRNA_RFAM_17262,0,TR0,
bpRNA_RFAM_2682,0,TR0,
bpRNA_RFAM_30817,0,TR0,
bpRNA_RFAM_10970,0,TR0,
bpRNA_RFAM_2441,0,TR0,
bpRNA_RFAM_35665,0,TR0,
bpRNA_RFAM_16553,0,TR0,
bpRNA_RFAM_9166,0,TR0,
bpRNA_RFAM_14738,0,TR0,
bpRNA_CRW_52710,0,TR0,
bpRNA_RFAM_29867,0,TR0,
bpRNA_RFAM_6152,0,TR0,
bpRNA_RFAM_39793,0,TR0,
bpRNA_tmRNA_21,0,TR0,
bpRNA_RFAM_37525,0,TR0,
bpRNA_RFAM_9089,0,TR0,
bpRNA_RFAM_18139,0,TR0,
bpRNA_RFAM_3080,0,TR0,
bpRNA_RFAM_43205,0,TR0,
bpRNA_RFAM_19410,0,TR0,
bpRNA_RFAM_31833,0,TR0,
bpRNA_CRW_31484,0,TR0,
bpRNA_RFAM_24713,0,TR0,
bpRNA_RFAM_7818,0,TR0,
bpRNA_RFAM_6268,0,TR0,
bpRNA_CRW_52670,0,TR0,
bpRNA_RNP_184,0,TR0,
bpRNA_RFAM_19427,0,TR0,
bpRNA_RFAM_2262,0,TR0,
bpRNA_RFAM_27171,0,TR0,
bpRNA_RFAM_22469,0,TR0,
bpRNA_RFAM_20338,0,TR0,
bpRNA_RFAM_4340,0,TR0,
bpRNA_RFAM_27396,0,TR0,
bpRNA_RFAM_14471,0,TR0,
bpRNA_RFAM_31328,0,TR0,
bpRNA_RFAM_42583,0,TR0,
bpRNA_RFAM_5190,0,TR0,
bpRNA_RFAM_22035,0,TR0,
bpRNA_RFAM_36690,0,TR0,
bpRNA_RFAM_12779,0,TR0,
bpRNA_RFAM_26863,0,TR0,
bpRNA_RFAM_12988,0,TR0,
bpRNA_RFAM_42796,0,TR0,
bpRNA_tmRNA_194,0,TR0,
bpRNA_RFAM_14300,0,TR0,
bpRNA_RFAM_24703,0,TR0,
bpRNA_RFAM_33779,0,TR0,
bpRNA_RFAM_12225,0,TR0,
bpRNA_CRW_55556,0,TR0,
bpRNA_RFAM_36220,0,TR0,
bpRNA_RFAM_7450,0,TR0,
bpRNA_RFAM_23488,0,TR0,
bpRNA_RFAM_22281,0,TR0,
bpRNA_RFAM_25422,0,TR0,
bpRNA_RFAM_37533,0,TR0,
bpRNA_RFAM_909,0,TR0,
bpRNA_RFAM_18340,0,TR0,
bpRNA_RNP_321,0,TR0,
bpRNA_CRW_34048,0,TR0,
bpRNA_RFAM_8376,0,TR0,
bpRNA_RFAM_37643,0,TR0,
bpRNA_RFAM_3263,0,TR0,
bpRNA_RFAM_4235,0,TR0,
bpRNA_CRW_54589,0,TR0,
bpRNA_CRW_31416,0,TR0,
bpRNA_RFAM_36781,0,TR0,
bpRNA_RFAM_22443,0,TR0,
bpRNA_RFAM_14958,0,TR0,
bpRNA_RFAM_17652,0,TR0,
bpRNA_RFAM_7242,0,TR0,
bpRNA_RFAM_7368,0,TR0,
bpRNA_RFAM_36005,0,TR0,
bpRNA_RFAM_25253,0,TR0,
bpRNA_RFAM_21790,0,TR0,
bpRNA_RFAM_12937,0,TR0,
bpRNA_SPR_595,0,TR0,
bpRNA_RFAM_40072,0,TR0,
bpRNA_RFAM_19740,0,TR0,
bpRNA_RFAM_38451,0,TR0,
