id,folding,method
bpRNA_RFAM_1870,(((((((..((((........)))).(((.(.......).))).....(((((.......)))))))))))).,MXfold2
bpRNA_RFAM_21156,....(((((((((..((..((((...((((....(((..((((...................))))..)))....))))...)))).))...)))))..)))).........,MXfold2
bpRNA_RFAM_23193,(((.((((....)))).)))..............(((((....))))),MXfold2
bpRNA_RFAM_28629,.((..((.((.(.((((((((.((.((((((.(((....)))...)))))).)).)).)))))).).)).(((((((((..((((......(((((...))))).....))))..))))))))).((((((((....(((.....)))...)))))))).))..)).,MXfold2
bpRNA_RFAM_3033,((((.((.((.((((..(....((((......((((.((((.(..........).))))(((.(((.(((.(((((((......(...((((........))))..)......))))).))))).))).)))((((((.....))))))...))))...))))...).)))).)).)).)))).,MXfold2
bpRNA_RFAM_40053,.((((...((((((.((((((((.((.................)).)))))))).))))))...)))).,MXfold2
bpRNA_RFAM_2008,(((((((..(((....(........((((.......))))........).......)))...))))))).,MXfold2
bpRNA_CRW_42243,(((((((..(((...........))).(((((.......)))))......((((.......)))).))))))).,MXfold2
bpRNA_RFAM_18693,.............................((((((....((((((.......)))))).))))))..............,MXfold2
bpRNA_RFAM_22487,.....((((((.........(((.(((((...(((.......))).........))))).))).)))).))..........................,MXfold2
bpRNA_RFAM_25908,............((..((((((.((((((((((.((((.(((.((............)).)))))))...)))))))))).))))))..))..,MXfold2
bpRNA_RFAM_34150,..(((((.((.(..((((((...))))))..)))..((((((.........))))))(((((((....)))))))..........((.(((((..........))).)).))..(((.(....).)))..))))),MXfold2
bpRNA_CRW_42293,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_21587,.((((((((.....((((((((((.(.(((.((............)).))).)..)))).)))))).....))))).))).,MXfold2
bpRNA_RFAM_41242,......((.(((((((((((....))))))))))).)).....((((((((.((...........)).)))))))).......,MXfold2
bpRNA_RFAM_4330,...........(.((((((((((((.((((.((((((..........))))))....((((((((.....(((((((......((((.(((((.................))))).)))))))))))....))))))))((...(((.((((...........)))).)))...........)).......)))).)))).)))))))).)(.((((((((..(((.((.(((...........((((..((((..((((((.((.......)).)))))).))))....((.(...(((..((((........(((.......)))........))))..))).).))))))..))).)))))..)))))))).)......((..(((((.((........((((.(.((.(........).)).).))))..)).)))))..)).......,MXfold2
bpRNA_RFAM_24371,..((((((((((..((.((.......)).))..)))).))))))..........(((((.........(((.((.(((((.......))))).)).))).......))))).......,MXfold2
bpRNA_RFAM_35168,.....(((((.....((((..(((((....)))))..)))).....)))))...,MXfold2
bpRNA_RFAM_36724,.......((((.(((((...((...(((((......((((.(((((((............)))))))))))...))))).))..........)))).).)))).,MXfold2
bpRNA_RFAM_24586,..((.((((.........(((((((((...((((..(.((((.((.....)).)))).)..))))......))))))))).....)))).))..........(((((((.((......((((.(((((((((............)))))....)))).))))...))..))))))).......,MXfold2
bpRNA_RFAM_35416,........(((.........)))....((((.................)))).............,MXfold2
bpRNA_CRW_41711,(((((((..((((........))))((((((.......))))))....(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_25419,((...........)).......................,MXfold2
bpRNA_CRW_43565,(((((((..((((.........))))..(((.........)))......(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_22368,.((((...(((((((((.((((((((..(((((.......(((((.....)))))......))))).)))))))).)))))))))...))))........,MXfold2
bpRNA_RFAM_3405,(((...........(.((((..(.......)..)).)).)..)))..(.(((((.(..(((((....(.((((....(((((((((((.........(((((((((((....(((((.(((((((((((((.(((((((((.............))))))))).))))........((((......((.....(((....))).....))......)))))))))))).)..)))))......))))..)).)))))..))))))))))))))).)......)))))..)))))).)....,MXfold2
bpRNA_RFAM_42556,..........(((((((((.....))).)))))).....(((.....(((((((((.....)))).))))).....))).....................,MXfold2
bpRNA_CRW_54624,.((((((((((............)))))))))).......(((........)))(((((((...(((..((.((((((((..(((((((....)))))))..))))))((((.(((((......)))))))))..........)).))..)))(((.((........)).)))...((...........)).((((.......)))))))))))....................,MXfold2
bpRNA_RFAM_38288,..........((.(.........).))..((.(((((((.((............((.......((((.(((((((((((..........))))))))))).....)))).......))..)).)))))))))..((((((......)))))).......(((((((....)))))))........((((((.....))))))...,MXfold2
bpRNA_RFAM_8320,...(((((......((((..(((...((.............((((..(((((((..........)))).))).))))...))..))).........)))).........)))))...,MXfold2
bpRNA_RFAM_10779,....(.((((((.......)))))).).....(.(((((((((.(..(..........)..).))))))))).)...........,MXfold2
bpRNA_RFAM_21068,....................................................((((((..(((((......)))))..))))))..................................................,MXfold2
bpRNA_RFAM_33897,....((((((((((((((..........(((...........))).......))))))))))))))....,MXfold2
bpRNA_RFAM_10425,.............(((((((..........)))))))..................................................................((((((.........))))))..............................,MXfold2
bpRNA_RFAM_31775,....(((((((((....))))))))).((((((..(((((((....)))))))..)))))).................,MXfold2
bpRNA_RFAM_17374,..((.(((.......((.(.(..........).).)).......))).))..............(((((.(....(((((((.((..((........))......)).)))))))......).))))).......,MXfold2
bpRNA_RNP_205,.......(((((((.((((((....)))))).(((...))).(((...((((.....((.(..((((.(.......(((((......((.((....)).)).....))))).).)))).).)).....))))....)))...(((((...))))).....(.(...........).)...((((.(..................).))))(.((((....)))).)........)))))))............................................(((........)))...,MXfold2
bpRNA_RFAM_37668,.......................................(((((...(((...........((((((......(((((..((.(((...((((........))))....)))................))...)))))..)))))))))....))))).............,MXfold2
bpRNA_RFAM_24262,.....(((((((........)))))))...........((((((........(((((((.((..(.......)..)).)))).))).......)))))).......,MXfold2
bpRNA_RFAM_18894,......(((((.(((((.((.(((((((((((.(((((...(((.(((..((...((......))....))..))).)))..)))))...))))))))))).)).))))).)))))........,MXfold2
bpRNA_tmRNA_334,(((((((............((((((((......(((.((.....(((..((((((.........)))))..(((....)))..(((................)))...((((.........))))((((((....))))))...(..((.......))..).(((.(((.((((((((((..(((.......)))..))))))))))..)))..)))(((((.((..(.......)..)).)))))........(((.......)))..(((((((........)))))))..)..)))........)).))).......))))))))...(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_21276,..........................((((.(..((.((.(.((.(.((((((.(((..........))).)))))).).))).)).))..).))))..,MXfold2
bpRNA_RFAM_10774,.......((((((......)))))).........(((((((((((((..................)))))))))))))...........,MXfold2
bpRNA_RFAM_38919,....................................((((((((((.(.(((......(((((((.....)).))))).....))).).))))))))))..............................,MXfold2
bpRNA_RFAM_2786,.((((((.((.........(((((((....))))))).....(.((....((((..((......(((((((((.....)))))(((..(((..((((....))))..))).........)))((((((.......)))))).......(((((.........))))).((((((((....)))).))))..........)))).)).))))...)).).....(((((..((((........))))..)))))..(((.((((.(((((...........((((((((...)))))))).)).)))..........)))).))))).)))))).....,MXfold2
bpRNA_RFAM_13722,.....(((........(((((((((........))))))))).......)))..............................(((((((.((............)).)))))))....(((((........))))),MXfold2
bpRNA_RFAM_32679,.........(((((((((....))))))))).................................,MXfold2
bpRNA_CRW_32615,(((((((...((((....))))..((((((.......))))))...(((((.......)))))))))))).,MXfold2
bpRNA_RFAM_37817,....................((.(((.(((.......))).))).)).....................(..(.(((.(.(((........((((.................))))......))).).))))..)..................................,MXfold2
bpRNA_RFAM_18195,.......(((((((.......((((.(((..(((............)))..)))(((....)))....)))).......))))))).....(((.(((....))).))).................,MXfold2
bpRNA_RFAM_6040,.....................................................(((.......)))..((..((((............(((.(((((.((((..................))))...))))).)))..))))..)).....,MXfold2
bpRNA_RFAM_2021,((.((....(((.........))).(((((.......)))))....((((((.......))))).))).)).,MXfold2
bpRNA_RFAM_40952,.........(((((.(((........))).)))))....................................((((((........((((...((((.......))))...))))......))))))......(((.(((....))).)))........,MXfold2
bpRNA_RFAM_41659,...........................................................(((((...((((((((...........))))))))..)))))...........................................................................................,MXfold2
bpRNA_RFAM_19890,..(((.((((((((..(.(((..(.....((((((((.........)))))))).....)..))).)..)))))))).)))..,MXfold2
bpRNA_RFAM_3335,.........(((((((....(.(((....))).).....)))))))..............(((((......)))))........((((((..((.((((((....))))))...))..)))))).............................,MXfold2
bpRNA_RFAM_20814,.....((....(((.(((((((((..(((..(((..((((...................)))).)))..)))...))))))))).)))....))..,MXfold2
bpRNA_RFAM_28532,......((((((((((((((((.((((....)))).((((((.................))))))........)))))))))))))))).....,MXfold2
bpRNA_RFAM_18827,.....(((..(((((((((.(((((((.((((((.....)))...(((..(((.........)))..)))(.(.(((((.(.(......).).))))).).)..))).))))))).)))))))))..))).......,MXfold2
bpRNA_RFAM_29053,.........(((((..........(((.(.(((((((............))).)))).).)))..))))),MXfold2
bpRNA_RFAM_18822,.....(((..(((((((((.(((((((.(((((...((.((.((((.......................................)))).)).))....))))).))))))).)))))))))..))).......,MXfold2
bpRNA_SPR_532,(((.(((..(((..........))).(((((.......))))).....(((((.......)))))))).)))....,MXfold2
bpRNA_RFAM_36732,....(.((....((((.(((..(((((((((((........))))))))))).))).))))....)).)......,MXfold2
bpRNA_RFAM_33284,.(.(((.......))).)...(((((.........(((((.(.......).))))).(((((.(.((........)).).))))).....((((..(.....((........)).....)..))))....((.((..(.((((.........)))).)..))))......(((((...........))))))))))....,MXfold2
bpRNA_RFAM_21055,.((((((.......))))))............................................................................................................................,MXfold2
bpRNA_RFAM_27001,.(((((.(.....((((((((((..(((((.........)))))))))).))))).....).)))))...,MXfold2
bpRNA_RFAM_15356,..........((((......)))).....................(((((...........(((.(((((............))))).))).....))))).............,MXfold2
bpRNA_RFAM_26926,...((((((.......(((((((((((............))))).)).)))).......)))))).......,MXfold2
bpRNA_CRW_29015,.((((((..((((........))))..((((.......)))).....(((((.......)))))))))))..,MXfold2
bpRNA_RFAM_18619,..............((.(((((..(((((((((((((.((..((((((.((.(((..((.....))..))).)).))).)))...))...)))))))))))))..))))).)).............,MXfold2
bpRNA_RFAM_23201,...............................((((....)))).,MXfold2
bpRNA_RFAM_20069,......((..((((.(((((((((...(((((((..(((..((.(....).)).......))).)))))))...))))))))).))))..))......,MXfold2
bpRNA_RFAM_22909,..................((((...((((((.........(((((((..((..(((((..........))........)))...))(((((.(...........).)))))..))))))).....))))))....)))).......,MXfold2
bpRNA_RFAM_4389,.((.((.......)).))((((((....)))))).............((.((((.(......((.......(((...........)))....)).....).)))).)),MXfold2
bpRNA_RFAM_1170,.......................(((((((((.......))))....)))))((.......))...........,MXfold2
bpRNA_tmRNA_168,.............................................(((((.......))))).....................................(((.(((.....((....)).........))).)))(((((((((((.........)))))))))))...........................................................................(.(((.......))).).(((..((((.......)))).....)))....,MXfold2
bpRNA_RFAM_6114,.....(((((((.((.((((((.((..(((..............))).)))))))).)).))))))).....,MXfold2
bpRNA_RFAM_26493,.................................................................................................................................................(((((((((((((.(........).)))))))))))))........................((((......))))....,MXfold2
bpRNA_RFAM_10710,.(((((((.(.(((((((..((((.(.........)...))))..))))))).).))))))).,MXfold2
bpRNA_RFAM_8525,..................((.((((...(.((((.........)))).)........((((.(.......).))))..)))).))...............,MXfold2
bpRNA_RFAM_21697,.(.((((((((.((((((.((((((((((.(.(((((.(((..(.(.(.((((((....((.(((.(((((.(((((.(((.(((((.......))))))))..))))).))))).))).))....)))))).).).)..))).))))).)))))).))))).)))))).)))))))).).,MXfold2
bpRNA_RFAM_18136,..........(((.(((.((((((((((((................))))))).)))))....)))))).....(((((((......)))))))..........(((.(.(((((.(((((.......))))).)))))).)))..............,MXfold2
bpRNA_RFAM_10556,........((((.......((((.(....((..........(((((...........)))))..))....).))))........))))................................((((....)))).....(((.........(((....)))..)))...,MXfold2
bpRNA_RFAM_5049,....................................................................................................................................,MXfold2
bpRNA_RFAM_14369,......((((.(.......(((((((((....))))))...))).......).))))((((..((((((......))))))..))))......((((.......))))......,MXfold2
bpRNA_RFAM_40305,((.((((.(.....).)))).)).........(((((((.(((...(((.......)))..)))...)))))))........,MXfold2
bpRNA_RFAM_30527,............((((((.................)))))).....................((((((.........))))))..............,MXfold2
bpRNA_RFAM_24071,...............................((((....(((....)))......)))).............................,MXfold2
bpRNA_RFAM_1298,...........................................((((.((.......)).).))).....,MXfold2
bpRNA_RFAM_1516,............................................(((.(.......).)))........,MXfold2
bpRNA_RFAM_21591,..((((.(((..((.(....((((((.(((..(.((.(((.(((.......(((.((.......)).))).......))).))).)).)........))).))))))...).))......))).)))).,MXfold2
bpRNA_RFAM_4617,................((((((.((((.((((....)))).)))).......((.(.........).))(.(.............).).....(((.((...((((((.((.(.....((............))...).))..))))))..)).)))...))))))...................(((.(.(((.........(((((((((((..((((.(...(.(((.(((...((((..................(((((.(........................).)))))..))))..))).))).)..).)))).........)))))))))))....)))).)))..................................................................................,MXfold2
bpRNA_RFAM_18325,..(..(((..(.((.(((..((((((((((.......))).)))))))....))))).)..)))..)..,MXfold2
bpRNA_SPR_496,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_23990,.(((((.................................................................)))))...,MXfold2
bpRNA_RFAM_30886,.(((..((....))...))).....((((((...(((((...................)))))..))))))..(((((((((((........))))))))))),MXfold2
bpRNA_RFAM_41514,..((.(((.(.(..(((((((.((((.......(.(((((((............(((..((((((((((...................))))))))))...))).))))))).)...........)))).))))).)).).).))).))............(((((((....))))))).....((((((((((....)))))))))).,MXfold2
bpRNA_RFAM_8591,.................((((((((.((((.((.(.......).)).))))......(((((((.......)))))))..))))))))..............,MXfold2
bpRNA_RFAM_21060,.....................................................................................................................................................,MXfold2
bpRNA_RFAM_29836,...........(((.(..(..((...(..(((((((.(((..(((.(((....))).)))..)))..))))))).)..))..)...).)))........,MXfold2
bpRNA_RFAM_33128,.........(((((...((((((((..((((.......))))))))))))..)))))..................................,MXfold2
bpRNA_RFAM_28097,.........(((((.(((.((.......((((((((.......((....)).......)))))))).....)).))))))))....,MXfold2
bpRNA_RFAM_22136,..(..(.((((((((.((.((((((..(((((((((((.........)))))))))))..)))))).)).)))))))).)..)..............,MXfold2
bpRNA_RFAM_38130,....(((.......)))...((((...(.......).))))........(((..((((..((((((...)))))).))))..)))((((......((.((((....)))).)).....)))).....((((...)))).,MXfold2
bpRNA_RFAM_2585,.(((((((((.....((((((.((((((.(((......))).)))))).)).(((...)))..(((((((........)))(((((.....))))).((((....)))).(((...((((........)))).)))((...((((((....))))))......))......(((((((.......)))))))((((((((....))).))))).((((((......))).)))))))..((((......(((((....(((((.....))))).))))).....)))).((.(.((((((((....))))))))).))........(((((...)))))....)))).....))))))))).....,MXfold2
bpRNA_RFAM_2598,.................(.(((((((((((....))))))))))).).......((((...((((.((.......(((((.....))))).........)).)))).((((...(((...........(((((((........)))))))...)))....(((.((.......)).))).((((((((....)))))))).))))((.....((((....(((...(((((.((.......)).)))))....))).....))))......))(((.((((((((....)))))))).)))........((((....))))..)))).....................,MXfold2
bpRNA_RFAM_18946,.......(((((((((...(((((.(((((((((((.(((((..........)))))............))))))))))).)))))...))))))))).........,MXfold2
bpRNA_RFAM_39922,..........................................(.((........)).).....((((..(((((((.......))))))).(((.......)))((.(.(((.........))).).)).((((.......))))))))..................(((.....)))...((.((((((.......)))))).)).........,MXfold2
bpRNA_RFAM_7496,..........................................................................,MXfold2
bpRNA_RFAM_14635,(...(((((.((..((((.(((((..((((((((......((....))........)))))))).)).))).))))..)).)))))..)..,MXfold2
bpRNA_RFAM_4772,...((((.(((.(.((.((((((((.((.........(((((....)))))........)).)))(.((.(.((....)).).)).)(((((((((((....))))))))))).(((.(((..((..((((...(.((.(..(((.(((.....((((((.(((.......((..((((((((((.(((.((((((.((((((((((((((((((............))))))).............))))))))))).)))).)).))).))))))).)))..))....)))))))))....))).))).).)).).......))))...))..))).)))(((((.(....).)))))))))).)).).........))).))))..,MXfold2
bpRNA_RFAM_35834,.((((((.....(((.....)))......)))))).......((.((((.((((....)))).).))).)).........((.((((...........(..((((((....(((........(((....(((...(((.....)))..)))...)))........))).(.(((..............))).).......))))))..)))))..))......,MXfold2
bpRNA_RFAM_19252,...........((((((.....(((((...(.((((((((.((((((((((..........)))))))))).)))))))).)...))))).))))))......,MXfold2
bpRNA_RFAM_25063,(((((.....((.(((...(((...(((.((((((.(((....(((.(((((((..((.(((((((...((((((.......(((((..........(((((((..((..((((((.......))))))..))....)))))))((((...((((((.(((.(((........))).)))..(((((((((...........))))))))).)).))))..))))...)))))....)))))).....))))))).))...))))..))).)))...........))))))))).))).)))...))).))..........))))).,MXfold2
bpRNA_RFAM_2977,..............(((((.((((.((...(........)..)).))))..)))))....................(((((..((((........(((((.((((..(((((.......((((((((((..(((.......)))...)))))))))).........)))))..((((.((((......))))..)))))))).))))).))))..))))),MXfold2
bpRNA_RFAM_4339,..........((((((.(......))))))).....(((.(((.(((.(((((.(((((((...((((((((.................))))))))..))))))).))).((((((((........(((...((....((((.......))))(((((....)))))........(((((((((.((........((((((((((.......(((((..(((.............(((((...........)))))...)))...))))).))))))))))......)).)))))))))....(((((((.................)))))))..))..))).........))))))))..)).))).))).)))....................,MXfold2
bpRNA_RFAM_14497,((((....((.((((((((......((.((((.(((..............))).)))).))......)))))))).))..)))).....,MXfold2
bpRNA_RFAM_14681,..((.((...((((.((((...(((((.......))))).....)))).(((((...(((((..................................)))))..))))).(((((((((((((....................(((.(((.......(((.........)))....))).))).))))))...........)))))))......)))).)).))...........................................................,MXfold2
bpRNA_RFAM_34301,........(((((((.......)))))))........................(((......((((.((.......)).))))..))).........,MXfold2
