id,dataset_name,folding,method
2G1G,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13]]",C1D+R2D
2KRZ,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13]]",C1D+R2D
2GVO,ablation,"[[1, 18], [2, 17], [3, 16], [4, 15], [5, 14], [6, 13]]",C1D+R2D
1SLO,ablation,"[[1, 19], [2, 18], [3, 17], [4, 16], [5, 15], [6, 13], [7, 12]]",C1D+R2D
1UUU,ablation,"[[1, 19], [2, 18], [3, 17], [4, 16], [5, 15], [6, 14], [7, 13], [8, 12]]",C1D+R2D
2U2A,ablation,"[[1, 20], [2, 19], [3, 18], [4, 17], [5, 16], [6, 15], [7, 14], [8, 12]]",C1D+R2D
2RPK,ablation,"[[1, 20], [2, 19], [3, 18], [4, 17], [5, 16], [6, 15], [7, 14]]",C1D+R2D
17RA,ablation,"[[1, 21], [2, 20], [3, 19], [4, 18], [5, 17], [7, 16], [8, 15], [9, 14]]",C1D+R2D
1OSW_0,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [6, 15], [7, 14], [8, 13]]",C1D+R2D
1N66,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [6, 15], [7, 14], [8, 13]]",C1D+R2D
1IKD,ablation,"[[1, 18], [2, 17], [3, 16], [4, 15], [5, 14], [6, 13], [7, 12]]",C1D+R2D
2HNS,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15], [9, 14]]",C1D+R2D
2M22,ablation,"[[1, 23], [2, 22], [3, 21], [4, 20], [5, 19], [7, 17], [8, 16], [9, 15], [10, 14]]",C1D+R2D
1MFK,ablation,"[[1, 23], [2, 22], [3, 21], [4, 20], [5, 19], [7, 18], [8, 17], [9, 16], [10, 15]]",C1D+R2D
1BVJ,ablation,"[[1, 23], [2, 22], [3, 21], [4, 20], [5, 19], [7, 18], [8, 17]]",C1D+R2D
2ESE,ablation,"[[1, 23], [2, 22], [3, 21], [4, 20], [5, 19], [6, 18], [7, 17], [8, 16], [9, 15]]",C1D+R2D
3PHP,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15]]",C1D+R2D
2LV0,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [5, 20], [6, 19], [7, 18], [8, 17], [10, 15]]",C1D+R2D
1E4P,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [8, 17], [9, 16], [10, 15]]",C1D+R2D
6W62_0,ablation,"[[2, 24], [3, 15], [6, 13], [9, 18], [10, 17], [11, 16]]",C1D+R2D
1KKS,ablation,"[[1, 23], [2, 22], [5, 20], [6, 19], [7, 18], [8, 17], [9, 16], [10, 15]]",C1D+R2D
6W7N_0,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15], [9, 14]]",C1D+R2D
1MT4,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [5, 20], [6, 19], [7, 18], [8, 17], [10, 15]]",C1D+R2D
1NC0,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [5, 20], [6, 19], [7, 17], [8, 16], [9, 15]]",C1D+R2D
5DO4,ablation,"[[1, 25], [2, 24], [3, 23], [10, 17], [11, 16]]",C1D+R2D
2A43,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [7, 26], [8, 25], [9, 24]]",C1D+R2D
3DD2,ablation,"[[1, 25], [2, 24], [3, 23], [8, 21], [9, 20], [10, 17], [11, 16]]",C1D+R2D
6IV6_0,ablation,"[[5, 19], [6, 18], [7, 17], [8, 16], [9, 15]]",C1D+R2D
2MXS,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [9, 22], [11, 20], [12, 19]]",C1D+R2D
2LQZ,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [6, 22], [10, 21], [11, 20], [12, 19], [13, 18]]",C1D+R2D
1XST,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [7, 22], [8, 21], [9, 20], [10, 19], [11, 18], [12, 17]]",C1D+R2D
1F7G,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [7, 22], [8, 21], [9, 20], [10, 19], [11, 18], [12, 17]]",C1D+R2D
2RP1,ablation,"[[1, 16], [2, 15], [3, 14], [4, 13], [5, 12]]",C1D+R2D
6CMN,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [9, 22], [10, 21], [11, 20], [12, 19]]",C1D+R2D
6GTC_0,ablation,"[[2, 26], [3, 25], [4, 24], [5, 23], [6, 22], [7, 16], [8, 15], [9, 14]]",C1D+R2D
1KPY_0,ablation,"[[1, 16], [2, 15], [3, 14], [4, 13], [5, 12]]",C1D+R2D
2NC0,ablation,"[[1, 28], [2, 27], [3, 26], [4, 25], [5, 24], [8, 22], [10, 21], [11, 20], [12, 19], [13, 18]]",C1D+R2D
2JWV,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [5, 25], [7, 23], [10, 21], [11, 20], [12, 19], [13, 18]]",C1D+R2D
6WLH,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [6, 25], [7, 24], [8, 23], [9, 22]]",C1D+R2D
3SN2,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [5, 25], [6, 24], [8, 23], [9, 22], [10, 21], [11, 20], [12, 19], [13, 17]]",C1D+R2D
1L1W,ablation,"[[1, 28], [2, 27], [3, 26], [4, 25], [7, 22], [8, 21], [9, 20], [10, 19], [11, 18], [12, 17]]",C1D+R2D
1EKZ,ablation,"[[1, 30], [2, 29], [3, 28], [4, 27], [5, 26], [6, 25], [7, 24], [8, 23], [9, 22], [10, 21], [11, 20], [12, 19], [13, 18]]",C1D+R2D
7OI0_0,ablation,"[[6, 29], [7, 28], [8, 27], [9, 26], [10, 25], [11, 24], [12, 23], [13, 22], [14, 21], [15, 20]]",C1D+R2D
1LVJ,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [11, 24], [12, 23], [13, 22], [14, 21], [15, 19]]",C1D+R2D
1T4L,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [6, 27], [7, 26], [8, 25], [9, 24], [10, 23], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D+R2D
1G70,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [6, 27], [9, 23], [10, 22], [12, 19]]",C1D+R2D
1Z31,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [7, 27], [8, 26], [9, 25], [12, 21], [13, 20], [14, 19]]",C1D+R2D
2LI4,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [6, 27], [7, 26], [8, 25], [9, 24], [10, 23], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D+R2D
2ZHA,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D+R2D
4ATO,ablation,"[[7, 30]]",C1D+R2D
5LWJ,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [5, 30], [6, 29], [7, 28], [14, 25], [15, 24], [18, 23]]",C1D+R2D
2RVO,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [5, 30], [6, 29], [7, 28], [8, 27], [12, 25], [13, 24], [14, 23], [15, 22], [16, 21]]",C1D+R2D
2ZH5,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D+R2D
2LPS,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [5, 30], [6, 29], [7, 28], [8, 27], [9, 26], [10, 23], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D+R2D
4OOG,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [6, 27], [7, 26], [8, 25], [9, 24], [10, 23], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D+R2D
2M57,ablation,"[[1, 35], [2, 34], [3, 33], [5, 31], [6, 30], [7, 29], [8, 28], [9, 27], [10, 26], [11, 23], [12, 22], [13, 21], [14, 20]]",C1D+R2D
2XDB_0,ablation,"[[2, 36], [3, 35], [4, 34], [8, 17], [9, 16], [12, 24]]",C1D+R2D
6SY6_0,ablation,"[[2, 36], [3, 35], [4, 34], [9, 26], [10, 25], [17, 24], [18, 23]]",C1D+R2D
1E95,ablation,"[[1, 19], [2, 18], [3, 17], [4, 16], [5, 15], [6, 14], [8, 34], [9, 33], [10, 32], [11, 31], [12, 30], [13, 29]]",C1D+R2D
1D6K,ablation,"[[2, 37], [3, 36], [4, 35], [5, 34], [8, 31], [11, 28], [13, 26], [14, 25], [15, 24], [16, 23], [17, 22]]",C1D+R2D
6U79,ablation,"[[1, 37], [2, 36], [3, 35], [4, 34], [5, 33], [6, 32], [7, 31], [8, 30], [9, 29], [10, 28], [12, 25], [13, 23], [14, 22], [15, 21]]",C1D+R2D
2ZY6_0,ablation,"[[1, 35], [2, 34], [3, 33], [4, 32], [5, 31], [6, 30], [7, 29], [8, 28], [11, 23], [13, 21], [14, 20], [17, 26], [18, 25]]",C1D+R2D
4R8I,ablation,"[[1, 19], [2, 38], [3, 37], [4, 16], [8, 33], [11, 32], [12, 23], [14, 30], [15, 29], [16, 28], [19, 24]]",C1D+R2D
4PMI,ablation,"[[1, 40], [2, 39], [3, 38], [4, 37], [5, 36], [6, 35], [16, 25], [17, 24], [18, 23]]",C1D+R2D
2HUA,ablation,"[[1, 40], [2, 39], [3, 38], [4, 37], [5, 36], [6, 35], [7, 34], [9, 29], [10, 28], [21, 33]]",C1D+R2D
1A51,ablation,"[[1, 41], [2, 40], [3, 39], [4, 38], [6, 36], [7, 35], [10, 32], [12, 30], [13, 29], [14, 28], [15, 27], [16, 26], [17, 25], [18, 24], [19, 23]]",C1D+R2D
5NZ6,ablation,"[[12, 41], [13, 40], [14, 39], [15, 38], [16, 37], [17, 36], [18, 35]]",C1D+R2D
2AU4,ablation,"[[1, 41], [2, 40], [3, 39], [4, 38], [5, 37], [6, 36], [18, 27], [19, 26], [20, 25]]",C1D+R2D
1MNX,ablation,"[[1, 42], [2, 41], [3, 40], [4, 39], [10, 33], [12, 31], [13, 30], [14, 29], [15, 28], [16, 27], [17, 26], [18, 25], [19, 24]]",C1D+R2D
5M0H,ablation,"[[1, 42], [2, 41], [3, 40], [4, 39], [5, 38], [11, 35], [12, 34], [13, 33], [14, 32], [17, 29], [18, 28], [19, 27]]",C1D+R2D
1CQ5,ablation,"[[1, 43], [2, 42], [3, 41], [4, 40], [5, 39], [6, 38], [7, 37], [12, 35], [13, 34], [14, 33], [19, 28], [20, 27], [21, 26]]",C1D+R2D
2FEY,ablation,"[[1, 43], [2, 42], [3, 41], [4, 40], [5, 39], [7, 38], [8, 37], [9, 36], [12, 35], [13, 34], [14, 33], [16, 32], [17, 31], [18, 30], [19, 29], [20, 28]]",C1D+R2D
1A60,ablation,"[[17, 32], [18, 31], [19, 30], [25, 40], [26, 39], [27, 38], [28, 37], [29, 36]]",C1D+R2D
2L94,ablation,"[[1, 45], [2, 44], [3, 43], [4, 42], [5, 41], [6, 40], [7, 39], [8, 38], [9, 34], [10, 33], [11, 32], [12, 31], [13, 30], [14, 29], [15, 28], [16, 27], [17, 26], [18, 25], [19, 24]]",C1D+R2D
6D3P,ablation,"[[3, 39], [4, 38], [5, 37], [6, 36], [9, 32], [10, 31], [11, 30]]",C1D+R2D
1YMO,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [5, 25], [6, 24], [12, 18], [15, 46], [16, 45], [17, 44], [18, 43], [19, 42], [20, 41], [21, 40], [22, 39], [23, 38]]",C1D+R2D
6GZK,ablation,"[[1, 48], [2, 47], [3, 46], [4, 45], [5, 44], [7, 41], [9, 22], [10, 21], [11, 20], [12, 19], [13, 34], [14, 33], [15, 32]]",C1D+R2D
2KUW,ablation,"[[1, 48], [2, 47], [3, 46], [4, 45], [5, 44], [6, 43], [7, 42], [8, 41], [9, 40], [10, 38], [11, 37], [12, 36], [13, 34], [14, 33], [15, 32], [16, 31], [17, 30], [18, 29], [19, 28]]",C1D+R2D
2PXE,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [6, 44], [7, 43], [8, 42], [9, 41], [10, 40], [15, 38], [16, 37], [17, 36], [22, 31], [23, 30], [24, 29]]",C1D+R2D
5ANC_0,ablation,"[[15, 27], [16, 26], [17, 25], [18, 24], [19, 23]]",C1D+R2D
4ENC,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 14], [8, 47], [9, 46], [10, 45], [11, 44], [12, 43], [13, 42], [24, 37], [25, 36], [26, 35], [27, 34], [28, 33]]",C1D+R2D
2LC8_0,ablation,"[[2, 38], [3, 26], [4, 25], [5, 24], [6, 23], [7, 22], [8, 21], [19, 53], [20, 52], [21, 51], [22, 33], [23, 50], [24, 31], [25, 48], [26, 47], [31, 41], [32, 40], [33, 39]]",C1D+R2D
6NOA,ablation,"[[1, 56], [2, 55], [3, 54], [4, 53], [5, 52], [6, 51], [9, 49], [10, 48], [19, 33], [21, 31], [22, 30], [23, 29], [24, 28]]",C1D+R2D
1DK1,ablation,"[[1, 57], [2, 56], [3, 55], [4, 54], [5, 53], [20, 49], [21, 48], [24, 44], [25, 43], [26, 42], [31, 38], [32, 37]]",C1D+R2D
7D7V,ablation,"[[1, 56], [2, 55], [3, 54], [4, 53], [5, 52], [18, 47], [19, 46], [20, 45], [25, 38]]",C1D+R2D
3FO4_0,ablation,"[[1, 63], [2, 62], [3, 61], [4, 60], [5, 59], [6, 36], [9, 29], [11, 27], [12, 26], [13, 25], [14, 24], [15, 23], [21, 45], [22, 44], [30, 37], [38, 56], [39, 55], [40, 54], [41, 53], [42, 52], [43, 51]]",C1D+R2D
6RFL_0,ablation,"[[1, 26], [2, 25], [3, 24], [5, 22], [6, 21], [7, 20], [8, 19], [9, 18], [23, 39], [24, 38], [25, 37], [26, 36], [27, 35], [35, 42], [44, 60], [45, 59], [46, 58], [47, 57], [48, 56]]",C1D+R2D
2NC1,ablation,"[[1, 67], [2, 66], [3, 65], [4, 64], [5, 63], [6, 62], [10, 60], [11, 59], [12, 58], [13, 57], [14, 56], [15, 30], [16, 29], [17, 28], [18, 27], [19, 26], [20, 25], [28, 35], [29, 34], [31, 48], [32, 47], [33, 46], [34, 45], [35, 44], [36, 43], [37, 42]]",C1D+R2D
2EES,ablation,"[[1, 67], [2, 66], [3, 65], [4, 64], [5, 63], [6, 62], [7, 61], [8, 38], [11, 31], [13, 29], [14, 28], [15, 27], [16, 26], [17, 25], [23, 47], [24, 46], [32, 39], [40, 58], [41, 57], [42, 56], [43, 55], [44, 54], [45, 53]]",C1D+R2D
4KR3_0,ablation,"[[1, 70], [2, 69], [3, 68], [4, 67], [5, 66], [6, 65], [7, 64], [10, 24], [11, 23], [12, 22], [18, 54], [24, 44], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [47, 63], [48, 62], [49, 61], [50, 60], [51, 59]]",C1D+R2D
4YVK_0,ablation,"[[1, 70], [2, 69], [3, 68], [4, 67], [5, 66], [6, 65], [7, 64], [9, 25], [10, 24], [11, 23], [12, 22], [13, 21], [18, 54], [24, 44], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [32, 37], [47, 63], [48, 62], [49, 61], [50, 60], [51, 59]]",C1D+R2D
2DU3,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 24], [11, 23], [12, 22], [13, 21], [18, 55], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D+R2D
2MS0,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 24], [11, 23], [12, 22], [13, 51], [15, 49], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D+R2D
1Y26,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [8, 64], [9, 63], [10, 40], [13, 33], [14, 32], [15, 31], [16, 30], [17, 29], [18, 28], [25, 49], [26, 48], [27, 47], [28, 46], [29, 43], [30, 42], [34, 41], [42, 60], [43, 59], [44, 58], [45, 57], [46, 56], [47, 55]]",C1D+R2D
3TRA_0,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 25], [11, 24], [12, 23], [13, 22], [18, 55], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D+R2D
5WT3_0,ablation,"[[1, 73], [2, 72], [3, 71], [4, 70], [5, 69], [6, 68], [7, 67], [10, 26], [11, 25], [12, 24], [13, 23], [20, 57], [26, 47], [27, 46], [28, 44], [29, 43], [30, 42], [31, 41], [32, 40], [50, 66], [51, 65], [52, 64], [53, 63], [54, 62], [55, 60]]",C1D+R2D
1GTR,ablation,"[[1, 69], [2, 68], [3, 67], [4, 66], [5, 65], [6, 64], [9, 23], [10, 22], [11, 21], [17, 54], [25, 41], [26, 40], [27, 39], [28, 38], [29, 37], [31, 35], [47, 63], [48, 62], [49, 61], [50, 60], [51, 59], [52, 57]]",C1D+R2D
1SJF_0,ablation,"[[3, 39], [4, 38], [5, 37], [6, 36], [7, 35], [8, 34], [9, 33], [13, 74], [14, 73], [15, 72], [16, 71], [17, 70], [18, 69], [19, 32], [20, 31], [21, 30], [23, 41], [24, 40], [46, 63], [47, 62], [48, 61], [49, 60]]",C1D+R2D
3AL0,ablation,"[[1, 70], [2, 69], [3, 68], [4, 67], [5, 66], [6, 65], [7, 64], [8, 26], [9, 25], [10, 24], [11, 23], [12, 22], [13, 21], [18, 54], [24, 44], [25, 43], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [47, 63], [48, 62], [49, 61], [50, 60], [51, 59]]",C1D+R2D
4WC7,ablation,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [19, 56], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D+R2D
1QU3,ablation,"[[1, 73], [2, 72], [3, 71], [4, 70], [5, 69], [6, 68], [7, 67], [10, 26], [11, 25], [12, 24], [13, 23], [28, 44], [29, 43], [30, 42], [31, 41], [32, 40], [50, 66], [51, 65], [52, 64], [53, 63], [54, 62]]",C1D+R2D
3BBV,ablation,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [19, 56], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [32, 38], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D+R2D
6TNA,ablation,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [19, 56], [23, 47], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [32, 37], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D+R2D
1C0A,ablation,"[[1, 73], [2, 72], [3, 71], [4, 70], [5, 69], [6, 68], [7, 67], [12, 24], [13, 23], [27, 48], [29, 43], [30, 42], [31, 41], [32, 40], [45, 75], [50, 66], [51, 65], [52, 64], [53, 63], [54, 62]]",C1D+R2D
3AMT,ablation,"[[1, 74], [2, 73], [3, 72], [4, 71], [5, 70], [6, 69], [7, 68], [15, 29], [16, 28], [27, 47], [28, 46], [29, 45], [30, 44], [31, 43], [32, 42], [33, 41], [51, 67], [52, 66], [53, 65], [54, 64], [55, 63]]",C1D+R2D
1P9X_0,ablation,"[[3, 77], [4, 76], [5, 75], [6, 74], [7, 73], [8, 72], [10, 70], [11, 69], [12, 68], [15, 63], [16, 62], [17, 61], [21, 36], [22, 35], [23, 34], [24, 33], [25, 32], [26, 31], [37, 54], [38, 53], [39, 43], [45, 57], [46, 56], [47, 55]]",C1D+R2D
3MUR,ablation,"[[4, 91], [5, 90], [6, 88], [7, 87], [14, 39], [15, 38], [19, 34], [20, 33], [21, 32], [22, 31], [23, 30], [24, 29], [37, 77], [43, 83], [44, 82], [45, 81], [47, 80], [48, 79], [49, 78], [50, 75], [51, 74], [52, 73], [53, 72], [54, 71], [57, 70], [58, 69]]",C1D+R2D
3GX7,ablation,"[[1, 93], [2, 92], [3, 91], [4, 90], [5, 89], [6, 88], [7, 87], [8, 86], [13, 41], [15, 40], [16, 39], [17, 38], [21, 31], [22, 30], [23, 29], [25, 68], [27, 66], [28, 65], [42, 60], [43, 59], [44, 58], [47, 56], [48, 55], [49, 54], [64, 85], [69, 82], [70, 81], [71, 80], [72, 79], [73, 78]]",C1D+R2D
3IQP,ablation,"[[1, 93], [2, 92], [3, 91], [4, 90], [5, 89], [6, 88], [7, 87], [8, 86], [13, 41], [15, 40], [16, 39], [17, 38], [21, 31], [22, 30], [23, 29], [25, 68], [27, 66], [28, 65], [42, 60], [43, 59], [44, 58], [47, 56], [48, 55], [49, 54], [64, 85], [69, 82], [70, 81], [71, 80], [72, 79], [73, 78]]",C1D+R2D
5FK6,ablation,"[[1, 93], [2, 92], [3, 91], [4, 90], [5, 89], [6, 88], [7, 87], [8, 86], [13, 41], [15, 40], [16, 39], [17, 38], [21, 31], [22, 30], [23, 29], [25, 68], [27, 66], [28, 65], [42, 60], [43, 59], [44, 58], [47, 56], [48, 55], [49, 54], [64, 85], [69, 82], [70, 81], [71, 80], [72, 79], [73, 78]]",C1D+R2D
5FK5,ablation,"[[1, 93], [2, 92], [3, 91], [4, 90], [5, 89], [6, 88], [7, 87], [8, 86], [13, 41], [15, 40], [16, 39], [17, 38], [21, 31], [22, 30], [23, 29], [25, 68], [27, 66], [28, 65], [42, 60], [43, 59], [44, 58], [47, 56], [48, 55], [49, 54], [64, 85], [69, 82], [70, 81], [71, 80], [72, 79], [73, 78]]",C1D+R2D
6DVK,ablation,"[[1, 94], [2, 93], [3, 92], [4, 91], [5, 90], [6, 89], [9, 85], [10, 84], [11, 83], [14, 80], [15, 79], [16, 78], [17, 77], [18, 23], [22, 68], [23, 67], [24, 66], [25, 65], [37, 58], [38, 57], [42, 53], [43, 52], [44, 51], [45, 50], [75, 82]]",C1D+R2D
6MCC,ablation,"[[1, 115], [15, 40], [16, 39], [29, 58], [30, 57], [31, 56], [32, 55], [33, 54], [34, 53], [35, 52], [36, 51], [37, 50], [38, 49], [39, 48], [40, 46], [41, 45], [58, 91], [59, 90], [60, 89], [61, 88], [62, 87], [63, 86], [85, 100], [87, 98], [88, 97], [89, 96], [90, 95], [101, 113], [102, 112], [103, 111], [104, 110], [105, 109]]",C1D+R2D
6UES,ablation,"[[20, 31], [21, 30], [22, 29], [23, 28], [24, 95], [26, 93], [27, 92], [28, 91], [29, 90], [30, 89], [32, 41], [33, 40], [34, 39], [35, 79], [36, 78], [37, 99], [67, 82], [68, 81], [87, 103], [88, 102], [89, 101], [103, 113], [104, 112], [105, 111]]",C1D+R2D
4QK8,ablation,"[[2, 111], [3, 110], [4, 109], [5, 108], [6, 107], [7, 106], [11, 25], [12, 24], [13, 23], [14, 22], [17, 75], [18, 74], [19, 73], [20, 72], [21, 71], [22, 103], [23, 102], [24, 101], [25, 100], [26, 99], [31, 94], [37, 91], [38, 90], [39, 92], [40, 89], [41, 88], [42, 87], [43, 86], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60], [53, 59], [54, 58], [67, 83], [68, 82], [69, 81], [70, 80], [71, 79], [72, 78], [73, 120], [74, 119], [75, 118], [76, 117], [77, 116], [78, 115]]",C1D+R2D
6N5L,ablation,"[[2, 113], [3, 112], [4, 111], [5, 110], [6, 109], [7, 108], [8, 24], [12, 21], [13, 20], [14, 19], [22, 107], [24, 105], [25, 104], [26, 103], [27, 102], [28, 101], [33, 96], [39, 93], [41, 94], [42, 91], [43, 90], [44, 89], [45, 88], [50, 66], [51, 65], [52, 64], [53, 63], [54, 62], [55, 61], [66, 87], [69, 85], [70, 84], [71, 83], [72, 82], [73, 81], [75, 122], [76, 121], [77, 120], [78, 119], [79, 118], [80, 117]]",C1D+R2D
6N5T,ablation,"[[2, 115], [3, 114], [4, 113], [5, 112], [6, 111], [7, 110], [14, 23], [15, 22], [22, 78], [23, 77], [24, 76], [25, 75], [26, 107], [27, 106], [28, 105], [29, 104], [30, 103], [35, 98], [41, 95], [42, 97], [43, 96], [44, 93], [45, 92], [46, 91], [47, 90], [52, 68], [53, 67], [54, 66], [55, 65], [56, 64], [57, 63], [71, 87], [72, 86], [73, 85], [74, 84], [75, 83], [76, 82], [77, 124], [78, 123], [79, 122], [80, 121], [81, 120], [82, 119]]",C1D+R2D
